iter	Passed	Remaining
250	6917	20642
251	6942	20607
252	6967	20571
253	6992	20535
254	7017	20503
255	7042	20468
256	7066	20429
257	7091	20393
258	7115	20357
259	7140	20321
260	7165	20288
261	7190	20254
262	7215	20218
263	7239	20182
264	7263	20146
265	7287	20107
266	7311	20073
267	7336	20039
268	7361	20005
269	7386	19969
270	7410	19934
271	7435	19900
272	7459	19865
273	7484	19830
274	7508	19794
275	7532	19757
276	7558	19728
277	7582	19693
278	7607	19658
279	7631	19622
280	7655	19589
281	7682	19560
282	7710	19536
283	7737	19507
284	7766	19483
285	7791	19452
286	7818	19424
287	7844	19394
288	7870	19363
289	7897	19336
290	7925	19309
291	7952	19283
292	7981	19258
293	8010	19236
294	8039	19213
295	8067	19187
296	8094	19158
297	8119	19126
298	8144	19095
299	8170	19065
300	8196	19033
301	8205	18965
302	8231	18934
303	8257	18904
304	8285	18879
305	8311	18850
306	8337	18820
307	8364	18792
308	8391	18766
309	8418	18736
310	8444	18709
311	8478	18695
312	8504	18665
313	8530	18636
314	8557	18609
315	8584	18581
316	8614	18561
317	8647	18545
318	8680	18530
319	8710	18509
320	8740	18487
321	8771	18468
322	8802	18449
323	8833	18429
324	8861	18405
325	8891	18383
326	8919	18356
327	8946	18329
328	8974	18304
329	9001	18276
330	9028	18247
331	9057	18223
332	9085	18199
333	9114	18173
334	9143	18149
335	9171	18125
336	9197	18095
337	9227	18072
338	9257	18050
339	9284	18021
340	9310	17993
341	9337	17965
342	9362	17934
343	9389	17905
344	9415	17875
345	9441	17845
346	9476	17833
347	9502	17802
348	9526	17770
349	9552	17741
350	9578	17709
351	9603	17678
352	9629	17648
353	9656	17621
354	9682	17593
355	9708	17562
356	9734	17532
357	9762	17506
358	9791	17482
359	9822	17462
360	9854	17442
361	9883	17419
362	9912	17394
363	9943	17374
364	9977	17358
365	10007	17335
366	10035	17309
367	10061	17278
368	10104	17279
369	10132	17253
370	10161	17227
371	10190	17202
372	10216	17172
373	10243	17144
374	10269	17115
375	10295	17086
376	10321	17057
377	10347	17026
378	10373	16997
379	10398	16966
380	10423	16934
381	10447	16902
382	10472	16870
383	10497	16839
384	10522	16808
385	10546	16776
386	10570	16743
387	10596	16714
388	10623	16686
389	10651	16660
390	10681	16637
391	10710	16612
392	10741	16590
393	10775	16574
394	10804	16548
395	10830	16519
396	10857	16491
397	10889	16470
398	10924	16455
399	10959	16439
400	10994	16422
401	11052	16440
402	11091	16430
403	11132	16422
404	11169	16408
405	11201	16388
406	11250	16392
407	11318	16423
408	11361	16417
409	11394	16397
410	11434	16386
411	11470	16370
412	11505	16352
413	11541	16336
414	11575	16317
415	11606	16294
416	11637	16269
417	11668	16246
418	11702	16226
419	11733	16204
420	11765	16181
421	11798	16159
422	11829	16135
423	11859	16111
424	11891	16089
425	11925	16068
426	11963	16053
427	12001	16039
428	12033	16016
429	12065	15993
430	12096	15969
431	12128	15946
432	12162	15926
433	12192	15901
434	12224	15877
435	12256	15855
436	12286	15829
437	12315	15801
438	12342	15772
439	12369	15743
440	12397	15715
441	12426	15687
442	12452	15657
443	12481	15630
444	12508	15600
445	12534	15569
446	12562	15541
447	12594	15517
448	12624	15492
449	12651	15463
450	12681	15437
451	12710	15409
452	12743	15388
453	12772	15361
454	12799	15331
455	12828	15304
456	12856	15276
457	12883	15246
458	12911	15217
459	12938	15188
460	12967	15161
461	12993	15130
462	13022	15104
463	13049	15074
464	13077	15046
465	13109	15022
466	13142	15000
467	13172	14973
468	13198	14942
469	13224	14912
470	13251	14883
471	13280	14855
472	13306	14825
473	13332	14795
474	13357	14763
475	13382	14732
476	13408	14701
477	13435	14672
478	13461	14641
479	13486	14610
480	13513	14581
481	13539	14550
482	13565	14520
483	13590	14489
484	13617	14459
485	13643	14429
486	13668	14398
487	13693	14366
488	13718	14336
489	13744	14305
490	13770	14275
491	13796	14245
492	13821	14214
493	13847	14184
494	13874	14154
495	13899	14124
496	13926	14094
497	13952	14064
498	13976	14032
499	14003	14003
500	14031	13975
501	14059	13947
502	14088	13920
503	14115	13891
504	14142	13862
505	14169	13833
506	14195	13803
507	14220	13772
508	14245	13741
509	14270	13710
510	14297	13682
511	14324	13653
512	14352	13625
513	14382	13599
514	14412	13572
515	14442	13547
516	14474	13522
517	14504	13496
518	14534	13470
519	14562	13441
520	14587	13411
521	14614	13382
522	14639	13352
523	14665	13321
524	14693	13293
525	14718	13263
526	14743	13232
527	14768	13202
528	14797	13175
529	14828	13149
530	14857	13122
531	14888	13097
532	14918	13071
533	14946	13043
534	14974	13015
535	15005	12989
536	15034	12963
537	15064	12936
538	15092	12908
539	15121	12880
540	15149	12853
541	15174	12823
542	15200	12792
543	15225	12762
544	15252	12733
545	15278	12704
546	15306	12676
547	15331	12645
548	15357	12615
549	15381	12585
550	15407	12555
551	15431	12524
552	15464	12500
553	15487	12468
554	15511	12436
555	15535	12406
556	15559	12375
557	15583	12344
558	15608	12313
559	15632	12282
560	15658	12252
561	15683	12222
562	15708	12192
563	15732	12162
564	15756	12131
565	15780	12100
566	15805	12070
567	15828	12038
568	15853	12008
569	15878	11978
570	15902	11948
571	15926	11916
572	15950	11886
573	15974	11855
574	15998	11825
575	16022	11794
576	16047	11764
577	16071	11733
578	16097	11704
579	16125	11676
580	16151	11648
581	16177	11618
582	16202	11588
583	16226	11558
584	16255	11531
585	16285	11505
586	16315	11479
587	16343	11451
588	16369	11422
589	16395	11393
590	16422	11364
591	16447	11335
592	16474	11307
593	16499	11277
594	16524	11247
595	16552	11219
596	16579	11192
597	16607	11164
598	16632	11134
599	16661	11107
600	16685	11077
601	16710	11047
602	16733	11016
603	16756	10986
604	16781	10956
605	16804	10925
606	16829	10896
607	16854	10866
608	16878	10836
609	16902	10806
610	16925	10776
611	16950	10746
612	16974	10716
613	16997	10685
614	17020	10655
615	17046	10626
616	17070	10596
617	17095	10567
618	17121	10538
619	17146	10508
620	17170	10479
621	17194	10449
622	17218	10419
623	17241	10389
624	17266	10360
625	17290	10329
626	17314	10300
627	17340	10271
628	17367	10244
629	17393	10215
630	17419	10186
631	17444	10157
632	17469	10128
633	17494	10099
634	17518	10069
635	17544	10041
636	17569	10012
637	17593	9982
638	17618	9953
639	17643	9924
640	17669	9895
641	17694	9867
642	17719	9837
643	17743	9808
644	17768	9779
645	17794	9751
646	17819	9722
647	17844	9693
648	17868	9663
649	17893	9635
650	17918	9606
651	17943	9577
652	17968	9548
653	17993	9519
654	18018	9490
655	18042	9461
656	18066	9431
657	18093	9404
658	18117	9374
659	18141	9345
660	18166	9316
661	18192	9288
662	18219	9260
663	18244	9232
664	18270	9203
665	18294	9174
666	18318	9145
667	18341	9116
668	18366	9086
669	18389	9057
670	18414	9029
671	18438	8999
672	18463	8971
673	18487	8942
674	18512	8913
675	18536	8884
676	18560	8855
677	18584	8826
678	18607	8796
679	18632	8768
680	18656	8739
681	18681	8710
682	18706	8682
683	18730	8653
684	18755	8624
685	18784	8598
686	18812	8571
687	18840	8544
688	18866	8515
689	18893	8488
690	18921	8461
691	18946	8433
692	18971	8404
693	18996	8375
694	19020	8347
695	19043	8318
696	19068	8289
697	19093	8261
698	19117	8232
699	19143	8204
700	19168	8175
701	19192	8147
702	19217	8119
703	19244	8091
704	19272	8064
705	19298	8036
706	19326	8009
707	19353	7982
708	19380	7954
709	19407	7927
710	19436	7900
711	19462	7872
712	19490	7845
713	19517	7817
714	19543	7789
715	19571	7762
716	19600	7736
717	19625	7708
718	19659	7683
719	19695	7659
720	19730	7634
721	19764	7610
722	19790	7582
723	19816	7554
724	19841	7526
725	19867	7498
726	19893	7470
727	19919	7442
728	19944	7414
729	19970	7386
730	19997	7358
731	20040	7337
732	20072	7311
733	20099	7284
734	20126	7256
735	20154	7229
736	20178	7200
737	20203	7172
738	20226	7143
739	20250	7115
740	20276	7087
741	20304	7059
742	20331	7032
743	20359	7005
744	20384	6977
745	20409	6949
746	20435	6921
747	20460	6893
748	20487	6865
749	20512	6837
750	20537	6809
751	20563	6781
752	20588	6753
753	20616	6726
754	20642	6698
755	20668	6670
756	20695	6643
757	20720	6615
758	20747	6587
759	20774	6560
760	20799	6532
761	20824	6504
762	20849	6476
763	20873	6447
764	20899	6420
765	20926	6392
766	20951	6364
767	20977	6336
768	21001	6308
769	21027	6280
770	21052	6252
771	21077	6225
772	21104	6197
773	21133	6170
774	21160	6143
775	21185	6115
776	21210	6087
777	21234	6059
778	21260	6031
779	21287	6004
780	21314	5976
781	21340	5949
782	21366	5921
783	21391	5893
784	21415	5865
785	21440	5837
786	21464	5809
787	21489	5781
788	21513	5753
789	21542	5726
790	21568	5698
791	21595	5671
792	21619	5643
793	21642	5615
794	21668	5587
795	21691	5559
796	21716	5531
797	21739	5503
798	21765	5475
799	21789	5447
800	21813	5419
801	21837	5391
802	21863	5363
803	21887	5335
804	21912	5307
805	21935	5279
806	21960	5251
807	21985	5224
808	22009	5196
809	22033	5168
810	22059	5140
811	22089	5114
812	22118	5087
813	22145	5060
814	22172	5032
815	22199	5005
816	22224	4977
817	22248	4950
818	22276	4923
819	22303	4895
820	22334	4869
821	22359	4841
822	22386	4814
823	22412	4787
824	22439	4759
825	22463	4732
826	22488	4704
827	22514	4676
828	22540	4649
829	22563	4621
830	22587	4593
831	22611	4565
832	22634	4537
833	22657	4509
834	22682	4482
835	22707	4454
836	22731	4426
837	22755	4398
838	22778	4371
839	22805	4343
840	22834	4317
841	22860	4289
842	22886	4262
843	22912	4235
844	22938	4207
845	22962	4180
846	22988	4152
847	23014	4125
848	23038	4097
849	23064	4070
850	23092	4043
851	23116	4015
852	23142	3988
853	23166	3960
854	23194	3933
855	23221	3906
856	23249	3879
857	23276	3852
858	23303	3825
859	23332	3798
860	23362	3771
861	23390	3744
862	23416	3717
863	23444	3690
864	23473	3663
865	23504	3636
866	23536	3610
867	23570	3584
868	23601	3557
869	23631	3531
870	23660	3504
871	23688	3477
872	23717	3450
873	23743	3422
874	23772	3396
875	23801	3369
876	23829	3342
877	23857	3315
878	23886	3288
879	23912	3260
880	23938	3233
881	23963	3206
882	23991	3178
883	24020	3151
884	24046	3124
885	24074	3097
886	24103	3070
887	24130	3043
888	24161	3016
889	24189	2989
890	24217	2962
891	24243	2935
892	24268	2907
893	24294	2880
894	24319	2853
895	24345	2825
896	24371	2798
897	24397	2771
898	24425	2744
899	24452	2716
900	24483	2690
901	24513	2663
902	24542	2636
903	24569	2609
904	24596	2581
905	24623	2554
906	24649	2527
907	24675	2500
908	24700	2472
909	24726	2445
910	24750	2417
911	24774	2390
912	24800	2363
913	24825	2335
914	24851	2308
915	24877	2281
916	24903	2254
917	24930	2226
918	24955	2199
919	24981	2172
920	25006	2144
921	25033	2117
922	25061	2090
923	25091	2063
924	25120	2036
925	25150	2009
926	25181	1983
927	25209	1955
928	25239	1928
929	25269	1901
930	25299	1875
931	25327	1847
932	25358	1821
933	25384	1793
934	25409	1766
935	25434	1739
936	25460	1711
937	25483	1684
938	25510	1657
939	25536	1629
940	25563	1602
941	25588	1575
942	25614	1548
943	25639	1520
944	25666	1493
945	25692	1466
946	25719	1439
947	25748	1412
948	25776	1385
949	25804	1358
950	25834	1331
951	25863	1304
952	25894	1277
953	25921	1249
954	25949	1222
955	25981	1195
956	26009	1168
957	26037	1141
958	26066	1114
959	26099	1087
960	26130	1060
961	26158	1033
962	26186	1006
963	26215	978
964	26246	951
965	26276	924
966	26309	897
967	26339	870
968	26368	843
969	26398	816
970	26428	789
971	26456	762
972	26483	734
973	26511	707
974	26539	680
975	26572	653
976	26604	626
977	26636	599
978	26663	571
979	26693	544
980	26722	517
981	26749	490
982	26776	463
983	26803	435
984	26830	408
985	26857	381
986	26885	354
987	26912	326
988	26939	299
989	26966	272
990	26994	245
991	27022	217
992	27052	190
993	27080	163
994	27108	136
995	27136	108
996	27162	81
997	27190	54
998	27218	27
999	27243	0
